island,land_area_km2,suitable_habitat_km2
Guam,541.3,479.4
Rota,85.5,82.6
Aguiguan,7.3,6.1
Tinian,102,96.7
Saipan,122,105.4
FDM,0.9,0.5
Anatahan,32.4,20.5
Sarigan,4.9,3.1
Guguan,4,3.2
Alamagan,11.2,10.9
Pagan,47.2,35.7
Agrihan,47,43.1
Ascuncion,7.3,6.9
Maug,2.1,1.7
Uracas,2.5,0.5
