micronesian starling,Sarigan,common,Stinson 1994
micronesian megapode,Tinian,historical extinction,Stinson 1994
collared kingfisher,Tinian,common,Stinson 1994
mariana mallard,Tinian,historical extinction,Stinson 1994
rock pigeon,Tinian,rare,Stinson 1994
island collared dove,Tinian,common,Stinson 1994
white-throated ground dove,Tinian,common,Stinson 1994
mariana fruit dove,Tinian,common,Stinson 1994
mariana common moorhen,Tinian,uncommon,Stinson 1994
micronesian honeyeater,Tinian,common,Stinson 1994
rufous fantail,Tinian,common,Stinson 1994
tinian monarch,Tinian,common,Stinson 1994
micronesian starling,Tinian,common,Stinson 1994
bridled white-eye,Tinian,common,Stinson 1994
golden white-eye,Tinian,prehistoric extinction,Stinson 1994
nightingale reed-warbler ,Tinian,prehistoric extinction,Stinson 1994
eurasian tree sparrow,Tinian,common,Stinson 1994
micronesian megapode,Uracas,rare,Stinson 1994
